id,time_observed_at,user_id,created_at,quality_grade,license,url,tag_list,description,latitude,longitude,scientific_name,common_name,iconic_taxon_name
105806189,2022-01-29 21:27:14 UTC,4033819,2022-01-30 00:32:55 UTC,research,CC-BY,https://www.inaturalist.org/observations/105806189,"",,-31.0667865617,-56.9274099916,Tachymenis ocellata,,Reptilia
105806420,2022-01-29 20:52:27 UTC,4033819,2022-01-30 00:38:13 UTC,research,CC-BY,https://www.inaturalist.org/observations/105806420,"","Atropellada en la ruta 4, Artigas",-31.0286336868,-56.8939786032,Adelphostigma occipitalis,,Reptilia
105901648,2022-01-31 11:54:08 UTC,4033819,2022-01-31 12:01:48 UTC,research,CC-BY,https://www.inaturalist.org/observations/105901648,"",,-30.9993048943,-56.8704710528,Oxyrhopus rhombifer,Falsa coral,Reptilia
105939483,2022-01-17 22:50:27 UTC,4033819,2022-02-01 01:22:17 UTC,research,,https://www.inaturalist.org/observations/105939483,"",,-31.0339241951,-56.8936154991,Dasypus novemcinctus,Tatú,Mammalia
105964740,2022-02-01 10:52:00 UTC,4033819,2022-02-01 14:39:08 UTC,research,CC-BY,https://www.inaturalist.org/observations/105964740,"","Atropellado en la ruta 4, Artigas",-31.0139600743,-56.8849734217,Philodryas patagoniensis,Culebra del Pastizal,Reptilia
105965154,2022-02-01 09:39:51 UTC,4033819,2022-02-01 14:50:57 UTC,research,CC-BY,https://www.inaturalist.org/observations/105965154,"","Atropellado en la ruta 4, Artigas",-31.0162205957,-56.8849989027,Tachymenis ocellata,,Reptilia
106119878,2022-02-04 12:34:59 UTC,4033819,2022-02-04 14:06:21 UTC,research,CC-BY,https://www.inaturalist.org/observations/106119878,"",,-31.0305094591,-56.8931192905,Lygophis anomalus,Culebra de líneas amarillas,Reptilia
106243451,2022-02-06 12:50:31 UTC,4033819,2022-02-06 14:40:36 UTC,research,CC-BY,https://www.inaturalist.org/observations/106243451,"","Encontrado muerto al lado de la ruta 4, cerca de Arapey Chico",-31.0310438277,-56.8936882541,Cavia aperea,Apereá,Mammalia
106288788,2020-12-26 20:14:00 UTC,4759325,2022-02-07 02:46:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/106288788,"",,-34.7127623056,-55.8400749444,Salvator merianae,Lagarto Overo,Reptilia
106314295,2022-02-07 13:24:24 UTC,4033819,2022-02-07 13:31:40 UTC,research,CC-BY,https://www.inaturalist.org/observations/106314295,"",,-30.9993048943,-56.8704710528,Dasypus novemcinctus,Tatú,Mammalia
106314518,2022-02-07 12:09:59 UTC,4033819,2022-02-07 13:36:45 UTC,research,,https://www.inaturalist.org/observations/106314518,"","Atropellada en la ruta 4, Artigas",-31.0074023336,-56.8795127794,Nothura maculosa,Perdiz,Aves
106347405,2022-02-07 21:23:18 UTC,4033819,2022-02-08 00:21:06 UTC,research,CC-BY,https://www.inaturalist.org/observations/106347405,"","Encontrado muerto en la ruta 4, Artigas",-31.0295567817,-56.8925523385,Guira guira,Pirincho,Aves
106411688,2022-02-08 08:57:47 UTC,3322591,2022-02-09 02:19:28 UTC,research,CC-BY,https://www.inaturalist.org/observations/106411688,"",Encontrado atropellado en el Puente Piraraja,-33.7110977172,-54.714084625,Hydrochoerus hydrochaeris,Carpincho,Mammalia
106468904,2022-02-08 18:10:04 UTC,4033819,2022-02-10 01:48:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/106468904,"","Ejemplar lastimado (y lamentablemente en unos 30 minutos aprox. encontrado muerto) al lado de la ruta 4, Salto",-31.0441409536,-56.9018710032,Guira guira,Pirincho,Aves
106550929,2022-02-11 14:47:41 UTC,5071058,2022-02-11 14:48:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/106550929,"",,-34.7201983333,-54.4159066667,Conepatus chinga,Zorrino,Mammalia
106644041,2022-02-12 20:55:42 UTC,4033819,2022-02-13 00:51:02 UTC,research,CC-BY,https://www.inaturalist.org/observations/106644041,"",,-31.0079710281,-56.8798426911,Xenodon dorbignyi,Falsa Crucera de Hocico Respingado,Reptilia
106680623,2022-02-13 13:03:42 UTC,4033819,2022-02-13 15:29:54 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/106680623,"",,-31.0189238411,-56.8861861154,Adelphostigma occipitalis,,Reptilia
106716434,2022-02-12 17:51:01 UTC,4033819,2022-02-14 01:06:54 UTC,research,CC-BY,https://www.inaturalist.org/observations/106716434,"","Atropellada en la ruta 4, Artigas",-31.0084017853,-56.8800834194,Philodryas patagoniensis,Culebra del Pastizal,Reptilia
106748829,2022-02-14 14:06:17 UTC,4033819,2022-02-14 16:45:23 UTC,research,CC-BY,https://www.inaturalist.org/observations/106748829,"","Atropellada en la ruta 4, Artigas",-31.049606103,-56.9071281329,Tyrannus savana,Tijereta,Aves
106854800,2022-02-16 13:22:03 UTC,5071058,2022-02-16 13:22:40 UTC,research,CC-BY,https://www.inaturalist.org/observations/106854800,"",,-34.820135,-54.611695,Lycalopex gymnocercus,Zorro Gris,Mammalia
106991923,2022-02-18 12:27:48 UTC,4033819,2022-02-18 20:31:28 UTC,research,CC-BY,https://www.inaturalist.org/observations/106991923,"",,-30.9528163135,-56.8346880376,Micrurus altirostris,Coralillo uruguaya,Reptilia
107006269,2022-02-18 22:01:04 UTC,4033819,2022-02-19 00:55:09 UTC,research,CC-BY,https://www.inaturalist.org/observations/107006269,"",,-30.968078903,-56.8486271426,Euphractus sexcinctus,Tatú peludo,Mammalia
107067887,2022-02-19 21:38:58 UTC,4033819,2022-02-19 22:41:44 UTC,research,CC-BY,https://www.inaturalist.org/observations/107067887,"",,-31.0085673059,-56.8803234771,Didelphis albiventris,Comadreja overa,Mammalia
107256767,2022-02-22 14:12:24 UTC,4033819,2022-02-22 15:51:45 UTC,research,CC-BY,https://www.inaturalist.org/observations/107256767,"",,-31.0173814375,-56.8852584064,Dasypus novemcinctus,Tatú,Mammalia
107705433,2022-03-01 11:11:07 UTC,4033819,2022-03-01 16:40:37 UTC,research,CC-BY,https://www.inaturalist.org/observations/107705433,"",,-31.0385895964,-56.8977430835,Adelphostigma occipitalis,,Reptilia
107708605,2022-03-01 11:48:09 UTC,4033819,2022-03-01 17:40:56 UTC,research,CC-BY,https://www.inaturalist.org/observations/107708605,"",,-31.0445626425,-56.902233772,Didelphis albiventris,Comadreja overa,Mammalia
107713846,2022-03-01 13:00:22 UTC,4033819,2022-03-01 19:17:36 UTC,research,CC-BY,https://www.inaturalist.org/observations/107713846,"",,-31.1646697797,-57.0400134847,Euphractus sexcinctus,Tatú peludo,Mammalia
107714874,2022-03-01 14:29:04 UTC,4033819,2022-03-01 19:39:08 UTC,research,CC-BY,https://www.inaturalist.org/observations/107714874,"",,-31.0806537747,-56.9422757998,Philodryas patagoniensis,Culebra del Pastizal,Reptilia
107737658,2022-02-28 19:22:00 UTC,1384163,2022-03-02 01:45:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107737658,"","",-32.6008744512,-56.4393475389,Procyon cancrivorus,Mano pelada,Mammalia
107797717,2022-03-02 11:36:51 UTC,4033819,2022-03-03 01:15:16 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/107797717,"",,-31.0365643117,-56.8973876908,Lygophis anomalus,Culebra de líneas amarillas,Reptilia
107824778,2022-03-03 11:56:30 UTC,5071058,2022-03-03 14:57:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/107824778,"",,-34.7125083333,-54.387425,Dasypus novemcinctus,Tatú,Mammalia
107903812,2022-03-04 11:33:16 UTC,4033819,2022-03-04 19:46:39 UTC,research,CC-BY,https://www.inaturalist.org/observations/107903812,"",,-31.0187681078,-56.8860784918,Tachymenis ocellata,,Reptilia
107914453,2022-03-04 20:34:47 UTC,4033819,2022-03-04 22:53:59 UTC,research,CC-BY,https://www.inaturalist.org/observations/107914453,"",,-31.0413352965,-56.8993178755,Oxyrhopus rhombifer rhombifer,,Reptilia
107914933,2022-03-04 20:53:38 UTC,4033819,2022-03-04 22:59:11 UTC,research,CC-BY,https://www.inaturalist.org/observations/107914933,"","Ejemplares atropellados en la ruta 4, Salto",-31.0556364763,-56.9141079113,Adelphostigma occipitalis,,Reptilia
107915178,2022-03-04 20:53:52 UTC,4033819,2022-03-04 23:02:57 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/107915178,"","Ejemplares atropellados en la ruta 4, Salto",-31.0551301062,-56.9135252014,Adelphostigma occipitalis,,Reptilia
108025854,2022-03-06 12:59:25 UTC,4033819,2022-03-06 14:43:54 UTC,research,CC-BY,https://www.inaturalist.org/observations/108025854,"",,-31.0438896055,-56.9016661495,Phrynops hilarii,Tortuga de laguna,Reptilia
108035415,2022-03-06 14:30:11 UTC,3322591,2022-03-06 17:02:32 UTC,research,CC-BY,https://www.inaturalist.org/observations/108035415,"",,-34.7866821289,-55.8535232542,Dryophylax hypoconia,Culebra Ojo de Gato,Reptilia
108179908,2022-03-08 16:02:09 UTC,4033819,2022-03-08 16:21:00 UTC,research,CC-BY,https://www.inaturalist.org/observations/108179908,"",,-30.9993048943,-56.8704710528,Erythrolamprus jaegeri,Culebra verde de vientre rojo,Reptilia
108179970,2022-03-08 16:04:24 UTC,4033819,2022-03-08 16:22:29 UTC,research,CC-BY,https://www.inaturalist.org/observations/108179970,"",,-30.9993048943,-56.8704710528,Lygophis anomalus,Culebra de líneas amarillas,Reptilia
108335511,2022-03-10 21:39:36 UTC,4033819,2022-03-11 00:06:06 UTC,research,CC-BY,https://www.inaturalist.org/observations/108335511,"",,-31.0284676264,-56.8918137252,Erythrolamprus poecilogyrus,Culebra verde y amarilla,Reptilia
108425592,2022-03-11 19:34:24 UTC,4033819,2022-03-12 11:48:57 UTC,research,CC-BY,https://www.inaturalist.org/observations/108425592,"",,-30.9921871322,-56.8731566146,Helicops infrataeniatus,Culebra de los esteros,Reptilia
108425738,2022-03-11 19:58:04 UTC,4033819,2022-03-12 11:52:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/108425738,"",,-30.9849768604,-56.8646690995,Philodryas patagoniensis,Culebra del Pastizal,Reptilia
108512836,2022-03-13 13:06:58 UTC,4033819,2022-03-13 15:57:29 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/108512836,"",,-31.0365605771,-56.8974057958,Dryophylax hypoconia,Culebra Ojo de Gato,Reptilia
108513067,2022-03-13 13:55:30 UTC,4033819,2022-03-13 16:01:25 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/108513067,"",,-31.0054844375,-56.8785458431,Lygophis anomalus,Culebra de líneas amarillas,Reptilia
108655807,2022-03-11 11:31:00 UTC,2044920,2022-03-15 14:47:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/108655807,"",atropellado en carretera,-31.6034125801,-56.8071783131,Euphractus sexcinctus,Tatú peludo,Mammalia
108717196,2022-03-15 21:04:01 UTC,4033819,2022-03-16 10:34:28 UTC,research,CC-BY,https://www.inaturalist.org/observations/108717196,"",,-30.9763646917,-56.8563321233,Conepatus chinga,Zorrino,Mammalia
