Punto,Fecha,Hora,Especie,N,Observaciones
SG03-3,19-07-20,18:11:00,L. europaeus,1,
SG03-3,22-07-20,22:28:00,C. thous,1,
SG03-3,30-07-20,10:56:00,C. familiaris,1,
SG01-3,10-07-20,01:26:44,L. europaeus,1,
SG03-3,20-06-20,14:37:13,C. familiaris,1,"negro y blanco, pelo largo"
SG03-3,22-06-20,21:54:35,C. thous,1,
SG03-3,23-06-20,10:02:18,B. taurus,1,
SG03-3,23-06-20,11:43:54,B. taurus,1,
SG03-3,23-06-20,16:53:07,B. taurus,3,3 ind.
SG03-3,23-06-20,17:07:59,B. taurus,3,2 a 4 indiv (10 min)
SG03-3,23-06-20,18:20:57,B. taurus,2,2 indiv. (vaca + toro) (6 min)
LR01_1,13-11-20,21:33:00,D. novemcinctus,1,
LR01_1,14-11-20,01:01:00,D. novemcinctus,1,
LR01_1,14-11-20,01:06:00,D. novemcinctus,1,
LR01_1,14-11-20,19:48:00,C. chinga,1,4 mins. Entra y sale de cueva en el suelo
LR01_1,15-11-20,03:58:00,D. novemcinctus,1,
LR01_1,18-11-20,23:20:00,D. albiventris,1,oliendo cebo
LR01_1,19-11-20,00:51:00,D. albiventris,1,
LR01_1,20-11-20,23:44:00,L. geoffroyi,1,
LR01_1,21-11-20,15:20:00,L. gymnocercus,1,
LR01_1,22-11-20,07:32:00,C. familiaris,1,
LR01_1,22-11-20,07:50:00,L. gymnocercus,1,
LR01_1,23-11-20,06:02:00,L. gymnocercus,1,
LR01_1,23-11-20,18:38:00,L. geoffroyi,1,
LR01_1,24-11-20,23:17:00,D. albiventris,1,
LR01_1,25-11-20,00:14:00,D. novemcinctus,1,
LR01_1,25-11-20,10:56:00,L. gymnocercus,1,
LR01_1,25-11-20,16:22:00,A. axis,1,
LR01_1,26-11-20,16:17:00,L. gymnocercus,1,cola rara
LR01_1,28-11-20,14:04:00,L. gymnocercus,1,"Hembra con mamas inflamadas, flaca, recientemente parida. Ingresa por la izquierda, se echa frente a cámara y se va por trillo de la derecha. "
LR01_1,29-11-20,00:24:00,D. novemcinctus,1,
LR01_1,29-11-20,16:07:00,L. gymnocercus,1,
LR01_1,29-11-20,20:18:00,C. chinga,1,
LR01_1,29-11-20,20:39:00,E. sexcinctus,1,peludo
LR01_1,30-11-20,21:34:00,D. novemcinctus,1,
LR01_1,01-12-20,05:09:00,E. sexcinctus,1,
LR01_1,01-12-20,05:20:00,L. gymnocercus,1,
LR01_1,01-12-20,07:29:00,L. gymnocercus,1,Hembra madre con presa en la boca.
LR01_1,01-12-20,22:04:00,D. albiventris,1,huele mismo hoyo que olió el zorrillo
LR01_1,01-12-20,23:14:00,D. albiventris,1,"parece un ind distinto al anterior, es mas claro y menos peludo"
LR01_1,01-12-20,23:59:00,D. novemcinctus,1,
LR01_1,02-12-20,05:53:00,L. gymnocercus,1,
LR01_1,02-12-20,06:54:00,L. gymnocercus,1,
LR01_1,02-12-20,06:58:00,L. gymnocercus,1,"con presa en la boca, ¿nutria?"
LR01_1,02-12-20,20:08:00,C. chinga,1,
LR01_1,03-12-20,02:23:00,E. sexcinctus,1,
LR01_1,03-12-20,05:42:00,L. gymnocercus,1,
LR01_1,03-12-20,11:07:00,L. gymnocercus,1,cachorro
LR01_1,03-12-20,13:16:00,L. gymnocercus,1,adulto que se sienta frente a cámara
LR01_1,04-12-20,17:16:00,L. gymnocercus,1,cola rara
LR01_1,05-12-20,09:08:00,L. gymnocercus,1,cachorro
LR01_1,06-12-20,04:56:00,L. gymnocercus,1,
LR01_1,06-12-20,06:59:00,L. gymnocercus,1,Cola fina con presa en la boca.
LR01_1,06-12-20,07:00:00,L. gymnocercus,1,Adulto ¿hembra madre? con cachorro 
LR01_1,06-12-20,15:23:00,L. gymnocercus,1,cachorro
LR01_1,06-12-20,23:12:00,E. sexcinctus,1,
LR01_1,06-12-20,23:15:00,L. gymnocercus,1,hembra madre
LR01_1,07-12-20,02:26:00,C. chinga,1,
LR01_1,07-12-20,06:59:00,L. gymnocercus,1,hembra madre
LR01_1,07-12-20,09:03:00,L. gymnocercus,1,cachorro
LR01_1,07-12-20,13:29:00,L. gymnocercus,1,cachorro
LR01_1,08-12-20,01:54:00,L. gymnocercus,1,cola fina
LR01_1,08-12-20,05:46:00,L. gymnocercus,1,¿cola fina?
LR01_1,08-12-20,06:20:00,L. gymnocercus,1,cola fina
LR01_1,08-12-20,06:23:00,C. chinga,1,
LR01_1,08-12-20,06:37:00,L. gymnocercus,1,Cola fina con presa en la boca.
LR01_1,08-12-20,06:42:00,L. gymnocercus,1,"cola fina, va y viene. 5 min"
LR01_1,08-12-20,10:24:00,L. gymnocercus,1,cachorro
LR01_1,08-12-20,14:40:00,L. gymnocercus,2,"cachorro y adulto. Primero cachorro solo, luego ingresa adulto y se sientan frente a cámara. 3 min"
LR01_1,08-12-20,22:21:00,L. gymnocercus,1,cola fina
LR01_1,09-12-20,00:01:00,E. sexcinctus,1,
LR01_1,09-12-20,05:43:00,L. gymnocercus,1,cola fina
LR01_1,10-12-20,00:38:00,E. sexcinctus,1,
LR01_1,10-12-20,03:04:00,L. gymnocercus,1,
LR01_1,10-12-20,04:35:00,D. novemcinctus,1,
LR01_1,10-12-20,06:24:00,L. gymnocercus,1,cola rara
LR01_1,10-12-20,07:34:00,L. gymnocercus,1,cachorro punta de cola negra
LR01_1,10-12-20,07:57:00,L. gymnocercus,1,cachorro cola negra
LR01_1,10-12-20,16:36:00,L. gymnocercus,1,cachorro punta de cola negra
LR01_1,10-12-20,16:39:00,L. gymnocercus,3,"3 ind, madre con mamas inflamadas con los 2 cachorros. Por estas fotos, se obs que ""cola fina"" es la madre"
LR01_1,10-12-20,19:21:00,L. gymnocercus,1,cachorro
LR01_1,10-12-20,20:10:00,L. gymnocercus,1,
LR01_1,11-12-20,00:21:00,L. gymnocercus,1,
LR01_1,11-12-20,01:01:00,L. gymnocercus,1,
LR01_1,11-12-20,06:25:00,L. gymnocercus,3,"3 ind, 2 adultos y un cachorro"
LR01_1,11-12-20,06:30:00,L. gymnocercus,1,hembra madre se sienta frente a cámara
